Dates,Adj Close
1997-01-06,19446.0
1997-01-07,18896.18945
1997-01-08,18680.38086
1997-01-09,18073.86914
1997-01-10,17303.65039
1997-01-13,18118.78906
1997-01-14,18093.13086
1997-01-15,
1997-01-16,18144.33984
1997-01-17,18090.03906
1997-01-20,17480.33984
1997-01-21,17358.16016
1997-01-22,18013.88086
1997-01-23,17909.46094
1997-01-24,17689.35938
1997-01-27,17334.90039
1997-01-28,17796.57031
1997-01-29,18335.30078
1997-01-30,17864.03906
1997-01-31,18330.00977
1997-02-03,18085.94922
1997-02-04,18314.33008
1997-02-05,18185.9707
1997-02-06,18038.42969
1997-02-07,17867.03906
1997-02-10,18181.16992
1997-02-11,18314.0
1997-02-12,18409.96094
1997-02-13,18688.06055
1997-02-14,18722.0
1997-02-17,18750.65039
1997-02-18,18470.75
1997-02-19,18599.11914
1997-02-20,19051.71094
1997-02-21,19034.53906
1997-02-24,18896.99023
1997-02-25,19070.07031
1997-02-26,18990.91992
1997-02-27,19021.56055
1997-02-28,18557.0
1997-03-03,18429.13086
1997-03-04,18564.7793
1997-03-05,18273.50977
1997-03-06,18041.33008
1997-03-07,18198.74023
1997-03-10,18113.89063
1997-03-11,18267.7207
1997-03-12,18183.26953
1997-03-13,17900.48047
1997-03-14,17923.64063
1997-03-17,18053.5
1997-03-18,18445.19922
1997-03-19,18493.71094
1997-03-20,
1997-03-21,18633.16016
1997-03-24,18043.82031
1997-03-25,18439.60938
1997-03-26,18472.44922
1997-03-27,18210.41992
1997-03-28,18189.7207
1997-03-31,18003.40039
1997-04-01,17869.58984
1997-04-02,18037.30078
1997-04-03,18129.31055
1997-04-04,17860.58984
1997-04-07,17715.66992
1997-04-08,18021.69922
1997-04-09,17703.36914
1997-04-10,17485.75
1997-04-11,17846.98047
1997-04-14,17692.4707
1997-04-15,17933.58984
1997-04-16,18031.19922
1997-04-17,18093.41016
1997-04-18,18352.14063
1997-04-21,18551.66016
1997-04-22,18544.44922
1997-04-23,18735.4707
1997-04-24,18698.07031
1997-04-25,18612.85938
1997-04-28,18670.36914
1997-04-29,
1997-04-30,19151.11914
1997-05-01,19275.33008
1997-05-02,19514.75
1997-05-05,
1997-05-06,20180.91992
1997-05-07,20048.90039
1997-05-08,20061.81055
1997-05-09,19802.7793
1997-05-12,20143.50977
1997-05-13,20129.10938
1997-05-14,20209.7207
1997-05-15,20056.31055
1997-05-16,20324.73047
1997-05-19,20489.75
1997-05-20,20332.83008
1997-05-21,19841.98047
1997-05-22,19877.39063
1997-05-23,20009.0
1997-05-26,20043.5
1997-05-27,19889.89063
1997-05-28,20351.33984
1997-05-29,20312.23047
1997-05-30,20068.81055
1997-06-02,20451.84961
1997-06-03,20563.16016
1997-06-04,20611.56055
1997-06-05,20488.15039
1997-06-06,20485.75
1997-06-09,20223.82031
1997-06-10,20532.55078
1997-06-11,20289.92969
1997-06-12,20564.46094
1997-06-13,20528.34961
1997-06-16,20681.07031
1997-06-17,20593.66016
1997-06-18,20497.84961
1997-06-19,20507.84961
