Dates,EOD/IBM,EOD/CSCO,EOD/MSFT,EOD/INTC,EOD/NKE,EOD/MCD
1997-01-02,26.980724299468136,5.641697961692405,6.7313462796957175,10.84212676287418,5.678108911325104,13.825270396112616
1997-01-03,28.015939039310695,5.888432525856751,6.978761604849934,11.507287913970757,5.760952358463337,13.78544577498488
1997-01-06,28.38917972782536,6.056212029488507,6.958143661087083,11.548860485914291,5.7847579467214505,13.748684586251589
1997-01-07,28.764180985625472,6.123503274260601,7.0101008793694675,11.923013633406116,5.701914499583218,13.5556883454018
1997-01-08,28.147981735719185,5.944059954868349,6.875671886035677,11.831553975130337,5.665730005430886,13.518927156668507
1997-01-09,28.500095592808492,6.011351199640444,6.793200110984271,11.889755575851286,5.773331264357556,13.479102535540772
1997-01-10,28.697279352778505,6.157597504945129,6.948247048080914,12.014473291681895,5.808563534979563,13.402516725679746
1997-01-13,28.8522094498978,6.202458334793191,6.907011160555211,12.214021637010868,5.725720087841331,13.595512966529535
1997-01-14,29.405028205528012,6.47162331388157,7.040615436138488,12.23065066578828,5.85617471149579,13.5556883454018
1997-01-15,28.98425214630629,6.3146104094133495,6.978761604849934,11.831553975130337,5.868553617390008,13.748684586251589
1997-01-16,29.13742167414014,6.3146104094133495,7.092572654420874,11.839868489519043,5.8923592056481215,13.67209877639056
1997-01-17,29.093407442003976,6.516484143729633,7.184941042478448,11.981215234127065,6.141841770593144,14.244960634151044
1997-01-20,29.40150706695712,6.70669406228542,7.484313585915049,12.080989406791552,6.356092064916162,14.321546444012071
1997-01-21,29.577563995501773,6.718357878045916,7.8348186298835225,12.313795809675353,6.297054206036041,14.131613635556723
1997-01-22,27.816994710055237,6.616972402589295,8.030276736755354,12.646376385223641,6.439887735584719,13.862031584845909
1997-01-23,26.716638906651156,6.437529083197043,7.814200686120671,12.621432842057521,6.320859794294154,14.244960634151044
1997-01-24,26.49656774597034,6.157597504945129,7.912342098431844,12.513344155004326,6.297054206036041,14.284785255278779
1997-01-27,25.660297335383234,6.135167090021097,7.9271870179410975,12.480086097449497,6.189452947109371,13.97844201583467
1997-01-28,26.540581978106502,6.18002791986916,7.885951130415394,12.554916726947862,6.189452947109371,14.09178901442899
1997-01-29,27.5317824858129,5.921629539944318,8.020380123749185,12.875025530913092,6.308480888399935,14.015203204567962
1997-01-30,27.684952013646747,6.056212029488507,8.339545893198125,13.315837128547711,6.320859794294154,13.825270396112616
1997-01-31,27.619810950085224,6.25808576380479,8.412121055243361,13.498815527565858,6.511304500359057,13.938617394706935
1997-02-03,27.26769709299592,6.123503274260601,8.442635612012381,13.63189072685178,6.4513144179486135,13.862031584845909
1997-02-04,27.047625932315103,6.02301501540094,8.504489443300935,13.706745526450113,6.320859794294154,14.055027825695698
1997-02-05,26.188468121017195,5.65246456085594,8.11274851180676,13.082955529797347,6.213258535367483,13.938617394706935
1997-02-06,25.765931492510024,5.731419621388531,8.009658792992504,12.733633131671796,6.082803911713025,13.78544577498488
1997-02-07,26.251248695279905,5.6641283766164365,8.27769206190957,13.008100730199015,6.225637441261702,13.901856205973642
1997-02-10,25.19237479832744,5.20385626237531,8.061616011274888,12.608875132341243,6.4513144179486135,14.09178901442899
1997-02-11,25.633572255390966,5.439824227376121,8.123469842563441,12.625509532251986,6.522731182722952,14.015203204567962
1997-02-12,25.589452509684616,5.798710866160625,8.236456174383868,13.041369530020496,6.7845926535621945,14.131613635556723
1997-02-13,25.83299350598368,5.6192675467683735,8.24717750514055,13.058003929931235,7.213093242208228,14.244960634151044
1997-02-14,25.589452509684616,5.6192675467683735,8.071512624281057,12.85007393104698,7.130249795069995,14.321546444012071
1997-02-18,25.633572255390966,5.719755805628035,8.030276736755354,12.85839113100235,7.189287653950116,14.361371065139805
1997-02-19,25.3476763032138,5.821141281084656,8.040998067512037,12.80017073131476,7.07025971265955,14.168374824290016
1997-02-20,24.927656324089323,5.65246456085594,7.855436573646374,12.467482733099951,7.035027442037543,14.131613635556723
1997-02-21,24.288802406261333,5.237950493059838,7.8348186298835225,12.176380734661993,6.998842947885212,13.97844201583467
1997-02-24,25.391796048920153,5.293577922071435,8.257074118146718,12.392627933501618,6.915999500746978,14.168374824290016
1997-02-25,25.85417098392273,5.069273772831121,8.205941617614847,12.384310733546249,7.094065300917663,14.51454268486186
1997-02-26,25.921232997396388,5.215520078135806,8.267795448903401,12.176380734661993,7.141676477433889,13.7716603292099
1997-02-27,25.236494544033793,4.9463550990474285,7.9271870179410975,11.62744553760756,7.058833030295656,13.348200185397294
1997-02-28,25.36885378115285,4.991215928895491,8.040998067512037,11.802106736670334,6.844582735972639,13.271486391228343
1997-03-03,25.612394777451918,4.867400038514837,8.205941617614847,12.134794734885142,6.749360382940187,13.3113775641962
1997-03-04,25.568275031745564,5.001982528059026,8.174602343095314,12.176380734661993,6.8207771477145265,13.541518946703048
1997-03-05,25.67769200109732,5.103368003515649,8.318927949435274,12.43421393327847,6.8207771477145265,13.808482950410994
1997-03-06,25.877113251690034,4.9014942691993655,8.061616011274888,12.093208735108291,6.796971559456413,13.731769156242045
1997-03-07,25.545332763978262,4.609898875186955,7.979144236223482,11.935181935956257,6.522731182722952,13.655055362073094
1997-03-10,25.78887376027733,4.789342194579207,8.24717750514055,12.04330553537607,6.379897653174274,13.7716603292099
1997-03-11,25.765931492510024,4.732817548970648,8.11274851180676,11.968450735777738,6.320859794294154,13.618232740872
1997-03-12,25.568275031745564,4.565038045338892,8.144087786326294,11.876961536268666,6.273248617777928,13.618232740872
